noa,diagnosis algorithm,Runtime
14,DMRSD_I1D1R1,0.0854830118338267
14,parallel_DMRSD_I1D1R1,0.03636901560359531
15,DMRSD_I1D1R1,0.21362385979758367
15,parallel_DMRSD_I1D1R1,0.06370979216363695
16,DMRSD_I1D1R1,0.1678550763140889
16,parallel_DMRSD_I1D1R1,0.05764692028363546
17,DMRSD_I1D1R1,1.0077819817648992
17,parallel_DMRSD_I1D1R1,0.29627451962894863
18,DMRSD_I1D1R1,3.1561626373119958
18,parallel_DMRSD_I1D1R1,1.0111346494711246
19,DMRSD_I1D1R1,1.759489147213194
19,parallel_DMRSD_I1D1R1,0.5493422018157111
20,DMRSD_I1D1R1,5.047537160579292
20,parallel_DMRSD_I1D1R1,1.2572887199454839
21,DMRSD_I1D1R1,6.299190493345261
21,parallel_DMRSD_I1D1R1,1.854367845084932
